ngram_rank,pct,word1,word2,w1_POS,w1_adjdet_rank,w2_noun_rank,rev_word1,rev_word2
80838,2.0907855383800156e-06,the,bosom,,535,7952,,
20261,8.183097858544442e-06,the,bow,,535,3408,,
95248,1.7672092399020123e-06,the,bowel,,535,5578,,
72936,2.32736297160088e-06,small,bowel,,17,5578,,
50938,3.351095603209364e-06,small,bowl,,17,1965,,
37955,4.485825242581564e-06,large,bowl,,21,1965,,
65026,2.6182878219876283e-06,black,box,,54,507,,
92381,1.8246739969679664e-06,the,box,,2,507,,
31904,5.2976145924783605e-06,the,boxes,,535,2584,,
34534,4.920031276018964e-06,young,boy,,34,352,,
28392,5.931715568071141e-06,old,boy,,15,352,,
74032,2.2916658465957627e-06,small,boy,,17,352,,
81055,2.0853928986678247e-06,good,boy,,7,352,,
99645,1.6861763182467326e-06,dear,boy,,500,352,,
62895,2.708457774384494e-06,this,boy,,4,352,,
55851,3.0530671593146965e-06,other,boys,,0,727,,
78053,2.1673932706369194e-06,young,boys,,34,727,,
21989,7.5747597264936225e-06,the,boys,,2,727,,
79909,2.1144970289417584e-06,the,brain,,535,4331,,
34857,4.874552153396384e-06,human,brain,,23,426,,
58979,2.8895322247868623e-06,the,brain,,2,426,,
58490,2.911523803679601e-06,the,brake,,535,8093,,
57850,2.946387846470044e-06,the,brass,,535,5331,,
22254,7.484724142195898e-06,the,break,,535,1943,,
46383,3.678568576562455e-06,the,brick,,535,3769,,
27965,6.0198789568541676e-06,the,brief,,535,7335,,
70528,2.4089064920328956e-06,this,brief,,4,7335,,
53319,3.198265327246427e-06,the,brim,,535,14985,,
27934,6.0264988252051794e-06,the,brink,,535,11710,,
76215,2.2221169184803977e-06,the,bronx,,535,15927,,
85775,1.966898150972043e-06,the,brook,,535,15512,,
97873,1.7175109589664064e-06,the,brow,,535,3644,,
27385,6.148558806464835e-06,the,brown,,535,8906,,
26160,6.423628221152949e-06,dark,brown,,90,8906,,
68800,2.471262247907581e-06,the,brunt,,535,20860,,
27467,6.13092971185754e-06,the,brush,,535,4206,,
92183,1.828507966730122e-06,the,buggy,,535,16315,,
64044,2.6584101363911214e-06,the,build,,535,8124,,
78900,2.1437713588079375e-06,the,bulk,,2,3501,,
35788,4.752653413855698e-06,the,bull,,535,5087,,
70114,2.423991550629788e-06,the,burn,,535,8327,,
70116,2.4239378033901317e-06,the,bus,,2,1655,,
24563,6.8193422731231e-06,the,bush,,535,5589,,
34098,4.9804969206324e-06,the,bush,,535,2949,,
39359,4.3334518181557054e-06,the,butt,,535,5857,,
22320,7.460797662675529e-06,the,cab,,535,4992,,
30057,5.616434260246773e-06,the,cable,,535,3324,,
28905,5.82985559104901e-06,the,café,,535,6232,,
31246,5.408199538071377e-06,the,cage,,535,4780,,
21763,7.654377304171284e-06,the,cake,,535,2923,,
72227,2.350796768091065e-06,the,calf,,535,7802,,
61800,2.7562928176786787e-06,the,call,,2,732,,
67656,2.5157291308499653e-06,the,calls,,535,2446,,
50188,3.3993158350544195e-06,the,camps,,535,4068,,
60261,2.8258865351604237e-06,that,can,,20,6181,,
74508,2.2767689033376675e-06,same,can,,6,6181,,
42330,4.031446078526465e-06,the,can,,535,6181,,
87000,1.938886881237789e-06,all,can,,595,6181,,
41095,4.150908276536062e-06,these,can,,22,6181,,
26166,6.422427866133956e-06,there,can,,18,6181,,
33179,5.109723200512906e-06,these,can,,13,6181,,
24293,6.887699804092748e-06,the,canal,,535,4272,,
95282,1.7664388628002709e-06,the,candy,,535,6376,,
76424,2.2156941233414595e-06,the,cane,,535,6444,,
53693,3.1759064755493697e-06,the,canoe,,535,9310,,
63000,2.7037459330412837e-06,the,canon,,535,8115,,
36735,4.632689574942641e-06,the,cap,,535,2854,,
31071,5.440913691275565e-06,the,cape,,535,3713,,
21468,7.753254309392484e-06,the,car,,2,208,,
58355,2.918770723159937e-06,new,car,,4,208,,
24452,6.84938698009102e-06,the,cards,,535,1945,,
42261,4.038836323979219e-06,good,care,,7,171,,
46681,3.6565053346835083e-06,great,care,,18,171,,
38542,4.42214372146202e-06,the,cargo,,535,4486,,
26686,6.304560169567499e-06,the,cars,,535,1649,,
25334,6.623567952674709e-06,the,cart,,535,4916,,
20360,8.151198871808375e-06,the,case,,2,1315,,
45474,3.7499807423192415e-06,every,case,,21,17,,
73678,2.3034454499537877e-06,worst,case,,400,17,,
38870,4.387118436952608e-06,this,case,,9,17,,
55754,3.0589972714234515e-06,the,case,,535,1315,,
38896,4.384189212391335e-06,first,case,,3,17,,
87519,1.9280299388271992e-06,rare,cases,,347,142,,
39934,4.270218190699966e-06,those,cases,,15,142,,
54909,3.1066173257590107e-06,few,cases,,12,142,,
33259,5.098776679369555e-06,the,cast,,535,3899,,
63856,2.6662214018878494e-06,the,cat,,2,1841,,
61907,2.7521542802251365e-06,the,catch,,535,6060,,
75783,2.2359210011988134e-06,the,cats,,535,4014,,
95845,1.7552594369517423e-06,this,cause,,4,556,,
85730,1.968017885131551e-06,major,cause,,67,556,,
48204,3.541092095394693e-06,good,cause,,7,556,,
97809,1.7186575667457426e-06,which,cause,,6,556,,
53473,3.1887431079539703e-06,the,cause,,2,556,,
72282,2.34928288750741e-06,the,caves,,535,8538,,
60310,2.8238799715465853e-06,the,ccp,,535,13384,,
78178,2.1642311413704687e-06,the,cdc,,535,9046,,
68692,2.4750872597964603e-06,the,cell,,2,259,,
81503,2.072807086714954e-06,small,cell,,17,259,,
71076,2.3889035610074435e-06,each,cell,,16,259,,
